"avatar","fullname","id","images/0","images/1","images/2","images/3","images/4","images/5","images/6","images/7","isQuote","isRetweet","likes","links/0","links/1","links/2","links/3","links/4","links/5","links/6","links/7","links/8","links/9","links/10","links/11","links/12","links/13","links/14","links/15","links/16","links/17","links/18","links/19","links/20","links/21","links/22","links/23","links/24","links/25","links/26","links/27","links/28","quotedTweet/avatar","quotedTweet/fullname","quotedTweet/images/0","quotedTweet/images/1","quotedTweet/images/2","quotedTweet/images/3","quotedTweet/links/0","quotedTweet/links/1","quotedTweet/links/2","quotedTweet/links/3","quotedTweet/links/4","quotedTweet/links/5","quotedTweet/links/6","quotedTweet/links/7","quotedTweet/links/8","quotedTweet/links/9","quotedTweet/links/10","quotedTweet/links/11","quotedTweet/links/12","quotedTweet/links/13","quotedTweet/links/14","quotedTweet/links/15","quotedTweet/text","quotedTweet/timestamp","quotedTweet/url","quotedTweet/username","quotes","replies","retweets","searchQuery","text","timestamp","url","username","verified"
"https://pbs.twimg.com/profile_images/1222192471330803713/Wd-cNrRT.jpg","OH! MEDIA","1720266274700403081","https://pbs.twimg.com/media/F9-dDsAaIAA6D6T.jpg",,,,,,,,"false","true","5312",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"181","70","3453","Gaza","Menteri Pertahanan Perancis, Sebastien Lecornu mengatakan kapal yang dihantar ke Gaza ini mampu diubah menjadi sebuah ""Kapal Hospital"".

Selain itu, Perancis yang juga merupakan 140 negara menyokong gencatan senjata telah menghantar bantuan perubatan ke Semenanjung Gaza sebelum ini.","2023-11-03T02:26:00.000Z","https://twitter.com/ohtweet/status/1720266274700403081","@ohtweet","true"
"https://pbs.twimg.com/profile_images/1717605189522214912/E-jsmL19.jpg","sham","1719276638695792776","https://pbs.twimg.com/media/F8UzXjdacAA2Usk.jpg",,,,,,,,"true","true","65828",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","IAS Smoking Skills","https://pbs.twimg.com/media/F8UzXjdacAA2Usk.jpg",,,,,,,,,,,,,,,,,,,,"Nikhaar aisa, Dudh Jaisa.","2023-10-13T14:04:00.000Z","https://twitter.com/Smokingskills07/status/1712831722260517347","@Smokingskills07","200","158","10163","Gaza","He tweeted this mocking kids in Gaza, and now God took your life. Rest in piss you cunt.","2023-10-31T08:54:00.000Z","https://twitter.com/bitterarab/status/1719276638695792776","@bitterarab","true"
"https://pbs.twimg.com/profile_images/1469311196616704005/8ebbwzTe.jpg","Dr. Eli David","1720042989756486027",,,,,,,,,"false","true","2999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"92","524","992","Gaza","“Innocent Palestinian civilians” in Gaza celebrating Hamas' massacre on October 7th. 

For some reason I haven't seen such celebrations there during the past few days... What could possibly be the reason?🤔","2023-11-02T11:39:00.000Z","https://twitter.com/DrEliDavid/status/1720042989756486027","@DrEliDavid","true"
"https://pbs.twimg.com/profile_images/1713306384471834624/7uilcGb1.jpg","Emelia ᛖᛗᛖᛚᛁᚨ ᛒᛖᚱᚾᚨᛞᛟᛏᛏᛗ","1719822081439711680",,,,,,,,,"false","true","8372","https://twitter.com/search?q=%23Gaza","https://twitter.com/search?q=%23Palestine","https://twitter.com/search?q=%23StandWithPalestine","https://twitter.com/search?q=%23HumanityForGaza",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"302","230","8639","Gaza","Let's Not Be Blind to Palestinian Suffering 🕊️

The massacre in Khan Yunis, #Gaza, reveals a devastating truth - children are its first victims. Can the government not see the suffering of Palestinians and they are humans too, and their pain is just as real?

Let's open our hearts and minds to the plight of innocent lives in #Palestine. Together, we can help end the suffering and work towards a brighter, more peaceful future.

🙏 #StandWithPalestine #HumanityForGaza","2023-11-01T21:01:00.000Z","https://twitter.com/Bernadotte22/status/1719822081439711680","@Bernadotte22","true"
"https://pbs.twimg.com/profile_images/1323749922005524485/LjJsuyU4.jpg","United Nations","1720024940445856083",,,,,,,,,"false","true","6313","https://twitter.com/UNICEF","https://www.unicef.org/emergencies/children-gaza-desperate-need-lifesaving-support",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"347","1221","4360","Gaza","Gaza: Attacks on hospitals & schools have taken a devastating toll on children.

@UNICEF calls for an immediate humanitarian ceasefire and for unrestricted humanitarian access to allow aid to reach children & families. unicef.org/emergencies/child…","2023-11-02T10:27:00.000Z","https://twitter.com/UN/status/1720024940445856083","@UN","true"
"https://pbs.twimg.com/profile_images/1671475103136370688/UojaiFWh.jpg","Kristel Asilom 🫶","1718490503384289334",,,,,,,,,"true","true","7832",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","Maria Ressa",,,,,,,,,,,,,,,,,,,,,"Hey, thanks for asking, but I think the angry prof should watch the entire hour+ long event and not rely on an inaccurate twitter attack to attack wrongly. It was about protecting the values of the Universal Declaration of Human Rights! I clapped when someone yelling over others was asked to LISTEN. It's the only way to find common ground. And I was among the first to point out that two wrongs don't make a right! So please, don't add to the noise.","2023-10-28T15:33:00.000Z","https://twitter.com/mariaressa/status/1718289997344727188","@mariaressa","46","22","1975","Gaza","this is so toothless. journalists are being killed in gaza. you are a nobel peace prize awardee. tumindig ang mga journalists para sayo noon, tumindig ka naman para sa kanila ngayon.

you either stand w genocide or you stand w palestine. let’s hold the line. pangilan naman natin.","2023-10-29T04:50:00.000Z","https://twitter.com/kristelasilom/status/1718490503384289334","@kristelasilom","true"
"https://pbs.twimg.com/profile_images/1613183627/image.jpg","Achadpeace","1720318740632629287",,,,,,,,,"true","false","0","https://twitter.com/SecBlinken",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","Mooniter",,,,,,,,,,,,,,,,,,,,,"📌","2023-11-03T04:27:00.000Z","https://twitter.com/Mooniter/status/1720296647802888214","@Mooniter","0","0","0","Gaza","@SecBlinken that is NOT Gaza. “Pause” will not work","2023-11-03T05:55:00.000Z","https://twitter.com/Achadpeace/status/1720318740632629287","@Achadpeace","false"
"https://pbs.twimg.com/profile_images/1684314384326164480/4-5OCbz9.jpg","كويتيون ضد التطبيع 𓂆","1719314479836500454",,,,,,,,,"false","true","215","https://twitter.com/search?q=%23Gaza","https://twitter.com/search?q=%23Gaza_under_attack",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4","2","98","Gaza","""قتلوا واحد راح يجي مكانه ألف... ونربيه علشان يحررها مش عشان يعيش...""

#Gaza 
#Gaza_under_attack","2023-10-31T11:24:00.000Z","https://twitter.com/kuwaitpal48/status/1719314479836500454","@kuwaitpal48","false"
"https://pbs.twimg.com/profile_images/1567704552283193345/wMLFemzm.jpg","Jackson Hinkle 🇺🇸","1720095952340721751","https://pbs.twimg.com/media/F98CJrcb0AACDbE.jpg",,,,,,,,"false","true","102171",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1956","4235","55339","Gaza","🚨🇮🇱 Israel has now dropped the equivalent of TWO NUCLEAR BOMBS on Gaza.

All the while, the “international community” is SILENT!","2023-11-02T15:10:00.000Z","https://twitter.com/jacksonhinklle/status/1720095952340721751","@jacksonhinklle","true"
"https://pbs.twimg.com/profile_images/808330362417979392/AdiQ86lk.jpg","UNICEF","1720118170072109492",,,,,,,,,"false","true","2382",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"78","363","1496","Gaza","“What I realized is that we are so alone.”

Our colleague shares her message from Gaza.

UNICEF is calling for an immediate humanitarian ceasefire, unrestricted humanitarian access and immediate and safe release of all abducted children.","2023-11-02T16:38:00.000Z","https://twitter.com/UNICEF/status/1720118170072109492","@UNICEF","true"
