fullname,id,likes,quotes,replies,retweets,searchQuery,text,timestamp,username,verified
Claudio Dantas,1720244608486064391,600,0,33,79,Hamas,A mesma turma que defende o Hamas também comemorou silenciosamente (alguns nem tanto) a invasão da Ucrânia. São colaboracionistas.,2023-11-03T01:00:00.000Z,@claudioedantas,TRUE
Eric Zemmour,1720104826304962889,2952,34,571,1108,Hamas,"Le Hamas ne veut pas défendre la Palestine, il veut détruire Israël. Le Hamas ne se bat pas pour une terre, encore moins pour un peuple, il veut instaurer le califat islamique.

Le Hamas n’est pas un mouvement de libération nationale ! Pas une ligue révolutionnaire ! Pas un groupe de résistants ! Mais un groupe islamique, une milice djihadiste visant l'éradication des juifs d'Israël et la chute du monde occidental, qu’ils appellent les croisés.",2023-11-02T15:45:00.000Z,@ZemmourEric,TRUE
Visegrád 24,1720295899052597358,1669,30,310,569,Hamas,"Young women in New York City taking down posters of Israeli civilians kidnapped by Hamas.

The woman recording is having none of it 

🇺🇸🇮🇱",2023-11-03T04:24:00.000Z,@visegrad24,TRUE
🇺🇦Ukrainian Front,1720156814426202178,188,4,19,34,Hamas,"⚡️Unique footage of a Hamas man running up to a moving 🇮🇱Merkava Mk4M and placing a demolition charge on it, after which he runs away and an explosion occurs.

After an explosion, a tandem shot from an RPG-7 is added to the tank, which was rolling alone without infantry escort.",2023-11-02T19:11:00.000Z,@front_ukrainian,TRUE
Jackson Hinkle 🇺🇸,1720208392499707960,23427,415,1205,14604,Hamas,"💔🇵🇸 Another innocent girl KILLED BY ISRAEL.

🚨🇮🇱 But the media will tell you Israel is just “targeting Hamas.”",2023-11-02T22:36:00.000Z,@jacksonhinklle,TRUE
Ben Shapiro,1719670830483865693,39433,1009,13561,7392,Hamas,"If you say that you don't understand the moral difference between:

(1) Hamas murdering babies, raping women and killing them, beheading men, and kidnapping hundreds; and

(2) Israel telling civilians to leave, killing Hamas members, and hitting civilians because Hamas keeps them there...

I don't believe you. You understand the difference. You're lying.",2023-11-01T11:00:00.000Z,@benshapiro,TRUE
ashok hindustani,1720318745204105491,0,0,0,0,Hamas,"Hamas and Israel should both be tried for war crimes and such other countries and people, those who don't follow the norms in international warfare should be tried for war crimes otherwise this killing of world population will not stop",2023-11-03T05:55:00.000Z,@myfictionworld1,FALSE
Şevki Karabekiroğlu.,1719987841847919096,5337,30,184,1860,Hamas,"Hamas Ateşkes için şartlarını açıkladı: 

1- Gazze'deki ablukanın karadan, denizden ve havadan kalıcı olarak kaldırılması, tüm kapıların 24 saat içinde açılması, havaalanı ve limanların açılması.   

2- 58 Filistinli çocuğun serbest bırakılması.  

3-285 kadın tutsağın serbest bırakılması.  

4-Hamas mensubu 3.000  

5- El Fetih mensubu başta Mervan Barguti olmak üzere 2.980 

6-Halk Cephesi mensubu  380  

7- Demokratik Cephe mensubu 288  

8- İslami Cihad mensubu 2.700 tutsağın serbest bırakılması  

9- Filistin davasına destek verdikleri için tutuklanan Ürdünlü, Lübnanlı, Suriyeli, Mısırlı: Müslüman, Hıristiyan, Şii, Sünni, Dürzi, Ermeni, Boşnak, Kürt ve Çerkes mahkumların serbest bırakılması.   

10- Uluslararası ve Filistinlilerden oluşan bir komitenin hapishanelerin denetimini  sağlaması.  

11- Filistin'in 650 Milyon USD değerindeki el konulan fonlarının iadesi.   

12-  Mescid-i Aksa'ya yönelik saldırılarını durdurulması.   

13- İşgalci yerleşimcilerin engellenmesi.  

14- İsrail'in 7 Ekim'den başlayarak  Gazze'de yıktığı her şeyin titizlikle yeniden inşa edilmesi.",2023-11-02T08:00:00.000Z,@karabekiroglu_s,TRUE
Sabil,1720318744696930571,0,0,0,0,Hamas,"Bagus kalo lo ga dukung zionis artinya otak lo masih bener. Belajar yg bener. Lo sendiri nyari data dari zionis itu sendiri, lo jg liat dr kacamata hamas dan org palestina. Ga ada asap kalo ga ada api. W jg ga makan dari mereka wooy, w org yg intelek .hehe w lg cosplay jadi lo ni",2023-11-03T05:55:00.000Z,@sabilibasabil,FALSE
Richard Medhurst,1720282515842199990,2453,29,190,776,Israel,"Israel and the US are taking such a spanking they daren't even mention it. Look what happened just today:

-The Iraqi resistance fired at Israeli targets in the Dead Sea (!) for the first time

-Hezbollah attacked 19 different Israeli positions using mortars, rockets, precision missiles, and drones for the first time. Direct hits confirmed and Israeli helicopters evacuating many wounded Israeli soldiers.

-The Resistance also struck the US occupation's bases at Shadadee oil fields in Syria and Erbil in Iraq.

-This is barely 24h after Yemen fired a volley of drones and ballistic cruise missiles at ""Israel"" from over 1500km.

This isn't even close to full operational capability. The West have bitten off more than they can chew.",2023-11-03T03:31:00.000Z,@richimedhurst,TRUE
